Predefined word	Match count
love	6750
hope	6270
day	5910
new	5370
future	4320
nature	3870
resilience	3840
moment	3840
strength	3360
peace	2910
joy	1980
sun	1530
warmth	1530
light	1500
home	1500
wisdom	1470
wonder	1440
magic	1440
promise	1440
kindness	1440
morning	1020
gentle	1020
glow	1020
night	1020
scent	1020
eager	1020
laughter	990
open	990
unique	990
inspiration	960
bright	960
gratitude	960
pure	510
waves	510
friendly	510
explore	510
bells	510
moon	510
gold	510
vibrant	510
beautiful	510
cat	510
colorful	510
hard	510
sharing	510
tranquil	510
church	510
dark	510
journey	480
adventure	480
faith	480
force	480
learned	480
common	480
courage	480
purpose	480
unity	480
found	480
empathy	480
understanding	480
passion	480
nurturing	480
vision	480
harmony	480
